Designator,Mid X,Mid Y,Rotation,Layer
_4,162.2,-88.28,0.0,top
_3,127.42,-88.29,0.0,top
_2,127.4,-119.5,0.0,top
,162.2,-119.5,0.0,top
C1,144.8,-88.25,0.0,top
C2,144.8,-119.45,0.0,top
C3,178.9,-103.799977,270.0,top
C4,168.0,-103.799977,270.0,top
H1,152.0,-103.9,0.0,top
IC1,142.9,-104.0,90.0,top
J1,182.464,-89.7,90.0,top
J2,182.514,-118.17,90.0,top
R1,130.33,-103.86,90.0,top
R2,134.43,-103.84,90.0,top
R3,138.43,-103.86,90.0,top
R4,171.03,-90.23,90.0,top
R5,171.06,-117.59,270.0,top
